generation_no,run_desc,population_size,Sum of fitness
68,Standard Algorithm,15,-385
68,Standard Algorithm,30,-140
68,Standard Algorithm,60,-60
68,Standard Algorithm,120,-45
69,Improved Algorithm,15,-195
69,Improved Algorithm,30,-20
69,Improved Algorithm,60,20
69,Improved Algorithm,120,60
69,Standard Algorithm,15,-385
69,Standard Algorithm,30,-135
69,Standard Algorithm,60,-60
69,Standard Algorithm,120,-35
70,Improved Algorithm,15,-195
70,Improved Algorithm,30,-20
70,Improved Algorithm,60,20
70,Improved Algorithm,120,60
70,Standard Algorithm,15,-385
70,Standard Algorithm,30,-135
70,Standard Algorithm,60,-60
70,Standard Algorithm,120,-30
71,Improved Algorithm,15,-195
71,Improved Algorithm,30,-20
71,Improved Algorithm,60,20
71,Improved Algorithm,120,65
71,Standard Algorithm,15,-385
71,Standard Algorithm,30,-135
71,Standard Algorithm,60,-60
71,Standard Algorithm,120,-30
72,Improved Algorithm,15,-195
72,Improved Algorithm,30,-20
72,Improved Algorithm,60,20
72,Improved Algorithm,120,70
72,Standard Algorithm,15,-385
72,Standard Algorithm,30,-135
72,Standard Algorithm,60,-60
72,Standard Algorithm,120,-30
73,Improved Algorithm,15,-195
73,Improved Algorithm,30,-20
73,Improved Algorithm,60,20
73,Improved Algorithm,120,70
73,Standard Algorithm,15,-385
73,Standard Algorithm,30,-135
73,Standard Algorithm,60,-55
73,Standard Algorithm,120,-30
74,Improved Algorithm,15,-195
74,Improved Algorithm,30,-20
74,Improved Algorithm,60,25
74,Improved Algorithm,120,75
74,Standard Algorithm,15,-385
74,Standard Algorithm,30,-125
74,Standard Algorithm,60,-55
74,Standard Algorithm,120,-30
75,Improved Algorithm,15,-195
75,Improved Algorithm,30,-20
75,Improved Algorithm,60,25
75,Improved Algorithm,120,75
75,Standard Algorithm,15,-385
75,Standard Algorithm,30,-125
75,Standard Algorithm,60,-55
75,Standard Algorithm,120,-25
76,Improved Algorithm,15,-195
76,Improved Algorithm,30,-20
76,Improved Algorithm,60,25
76,Improved Algorithm,120,75
76,Standard Algorithm,15,-385
76,Standard Algorithm,30,-115
76,Standard Algorithm,60,-55
76,Standard Algorithm,120,-25
77,Improved Algorithm,15,-195
77,Improved Algorithm,30,-20
77,Improved Algorithm,60,25
77,Improved Algorithm,120,75
77,Standard Algorithm,15,-385
77,Standard Algorithm,30,-115
77,Standard Algorithm,60,-55
77,Standard Algorithm,120,-25
78,Improved Algorithm,15,-195
78,Improved Algorithm,30,-20
78,Improved Algorithm,60,25
78,Improved Algorithm,120,75
78,Standard Algorithm,15,-385
78,Standard Algorithm,30,-115
78,Standard Algorithm,60,-45
78,Standard Algorithm,120,-25
79,Improved Algorithm,15,-195
79,Improved Algorithm,30,-15
79,Improved Algorithm,60,25
79,Improved Algorithm,120,75
79,Standard Algorithm,15,-385
79,Standard Algorithm,30,-115
79,Standard Algorithm,60,-45
79,Standard Algorithm,120,-25
80,Improved Algorithm,15,-195
80,Improved Algorithm,30,-15
80,Improved Algorithm,60,25
80,Improved Algorithm,120,75
80,Standard Algorithm,15,-385
80,Standard Algorithm,30,-115
80,Standard Algorithm,60,-45
80,Standard Algorithm,120,-20
81,Improved Algorithm,15,-195
81,Improved Algorithm,30,-15
81,Improved Algorithm,60,25
81,Improved Algorithm,120,75
81,Standard Algorithm,15,-385
81,Standard Algorithm,30,-115
81,Standard Algorithm,60,-45
81,Standard Algorithm,120,-15
82,Improved Algorithm,15,-195
82,Improved Algorithm,30,-15
82,Improved Algorithm,60,25
82,Improved Algorithm,120,75
82,Standard Algorithm,15,-385
82,Standard Algorithm,30,-110
82,Standard Algorithm,60,-45
82,Standard Algorithm,120,-15
83,Improved Algorithm,15,-195
83,Improved Algorithm,30,-15
83,Improved Algorithm,60,25
83,Improved Algorithm,120,75
83,Standard Algorithm,15,-385
83,Standard Algorithm,30,-110
83,Standard Algorithm,60,-35
83,Standard Algorithm,120,-15
84,Improved Algorithm,15,-195
84,Improved Algorithm,30,-15
84,Improved Algorithm,60,30
84,Improved Algorithm,120,75
84,Standard Algorithm,15,-385
84,Standard Algorithm,30,-110
84,Standard Algorithm,60,-35
84,Standard Algorithm,120,-15
85,Improved Algorithm,15,-195
85,Improved Algorithm,30,-15
85,Improved Algorithm,60,30
85,Improved Algorithm,120,75
85,Standard Algorithm,15,-385
85,Standard Algorithm,30,-110
85,Standard Algorithm,60,-35
85,Standard Algorithm,120,-10
86,Improved Algorithm,15,-195
86,Improved Algorithm,30,-15
86,Improved Algorithm,60,30
86,Improved Algorithm,120,75
86,Standard Algorithm,15,-385
86,Standard Algorithm,30,-110
86,Standard Algorithm,60,-35
86,Standard Algorithm,120,-10
87,Improved Algorithm,15,-195
87,Improved Algorithm,30,-15
87,Improved Algorithm,60,30
87,Improved Algorithm,120,75
87,Standard Algorithm,15,-315
87,Standard Algorithm,30,-105
87,Standard Algorithm,60,-35
87,Standard Algorithm,120,-5
88,Improved Algorithm,15,-195
88,Improved Algorithm,30,-10
88,Improved Algorithm,60,30
88,Improved Algorithm,120,75
88,Standard Algorithm,15,-315
88,Standard Algorithm,30,-105
88,Standard Algorithm,60,-30
88,Standard Algorithm,120,-5
89,Improved Algorithm,15,-195
89,Improved Algorithm,30,-10
89,Improved Algorithm,60,30
89,Improved Algorithm,120,75
89,Standard Algorithm,15,-315
89,Standard Algorithm,30,-90
89,Standard Algorithm,60,-30
