generation_no,run_desc,population_size,Sum of fitness
73,Standard Algorithm,15,-495
73,Standard Algorithm,30,-135
73,Standard Algorithm,60,-30
73,Standard Algorithm,120,-45
74,Improved Algorithm,15,-335
74,Improved Algorithm,30,-35
74,Improved Algorithm,60,-50
74,Improved Algorithm,120,35
74,Standard Algorithm,15,-495
74,Standard Algorithm,30,-135
74,Standard Algorithm,60,-30
74,Standard Algorithm,120,-45
75,Improved Algorithm,15,-335
75,Improved Algorithm,30,-35
75,Improved Algorithm,60,-50
75,Improved Algorithm,120,35
75,Standard Algorithm,15,-495
75,Standard Algorithm,30,-135
75,Standard Algorithm,60,-30
75,Standard Algorithm,120,-30
76,Improved Algorithm,15,-335
76,Improved Algorithm,30,-20
76,Improved Algorithm,60,-40
76,Improved Algorithm,120,35
76,Standard Algorithm,15,-495
76,Standard Algorithm,30,-135
76,Standard Algorithm,60,-30
76,Standard Algorithm,120,-30
77,Improved Algorithm,15,-335
77,Improved Algorithm,30,-20
77,Improved Algorithm,60,-40
77,Improved Algorithm,120,35
77,Standard Algorithm,15,-495
77,Standard Algorithm,30,-125
77,Standard Algorithm,60,-25
77,Standard Algorithm,120,-30
78,Improved Algorithm,15,-335
78,Improved Algorithm,30,-20
78,Improved Algorithm,60,-40
78,Improved Algorithm,120,35
78,Standard Algorithm,15,-495
78,Standard Algorithm,30,-125
78,Standard Algorithm,60,-25
78,Standard Algorithm,120,-30
79,Improved Algorithm,15,-335
79,Improved Algorithm,30,-20
79,Improved Algorithm,60,-35
79,Improved Algorithm,120,35
79,Standard Algorithm,15,-495
79,Standard Algorithm,30,-125
79,Standard Algorithm,60,-25
79,Standard Algorithm,120,-30
80,Improved Algorithm,15,-335
80,Improved Algorithm,30,-20
80,Improved Algorithm,60,-35
80,Improved Algorithm,120,35
80,Standard Algorithm,15,-495
80,Standard Algorithm,30,-125
80,Standard Algorithm,60,-25
80,Standard Algorithm,120,-30
81,Improved Algorithm,15,-325
81,Improved Algorithm,30,-20
81,Improved Algorithm,60,-35
