generation_no,run_desc,population_size,Sum of fitness
84,Improved Algorithm,120,-55
84,Standard Algorithm,15,-1020
84,Standard Algorithm,30,-440
84,Standard Algorithm,60,-245
84,Standard Algorithm,120,-130
85,Improved Algorithm,15,-690
85,Improved Algorithm,30,-210
85,Improved Algorithm,60,-100
85,Improved Algorithm,120,-55
85,Standard Algorithm,15,-1020
85,Standard Algorithm,30,-440
85,Standard Algorithm,60,-245
85,Standard Algorithm,120,-120
86,Improved Algorithm,15,-690
86,Improved Algorithm,30,-195
86,Improved Algorithm,60,-100
86,Improved Algorithm,120,-55
86,Standard Algorithm,15,-1020
86,Standard Algorithm,30,-435
86,Standard Algorithm,60,-235
86,Standard Algorithm,120,-120
87,Improved Algorithm,15,-690
87,Improved Algorithm,30,-180
87,Improved Algorithm,60,-100
87,Improved Algorithm,120,-55
87,Standard Algorithm,15,-1020
87,Standard Algorithm,30,-435
87,Standard Algorithm,60,-235
87,Standard Algorithm,120,-115
88,Improved Algorithm,15,-690
88,Improved Algorithm,30,-180
88,Improved Algorithm,60,-100
88,Improved Algorithm,120,-45
88,Standard Algorithm,15,-1020
88,Standard Algorithm,30,-435
88,Standard Algorithm,60,-235
88,Standard Algorithm,120,-115
89,Improved Algorithm,15,-690
89,Improved Algorithm,30,-180
89,Improved Algorithm,60,-100
89,Improved Algorithm,120,-45
89,Standard Algorithm,15,-1020
89,Standard Algorithm,30,-435
89,Standard Algorithm,60,-215
89,Standard Algorithm,120,-115
90,Improved Algorithm,15,-690
90,Improved Algorithm,30,-180
90,Improved Algorithm,60,-90
90,Improved Algorithm,120,-45
90,Standard Algorithm,15,-1020
90,Standard Algorithm,30,-425
90,Standard Algorithm,60,-210
90,Standard Algorithm,120,-110
91,Improved Algorithm,15,-690
91,Improved Algorithm,30,-180
91,Improved Algorithm,60,-90
91,Improved Algorithm,120,-45
91,Standard Algorithm,15,-1020
91,Standard Algorithm,30,-420
91,Standard Algorithm,60,-210
91,Standard Algorithm,120,-110
92,Improved Algorithm,15,-690
92,Improved Algorithm,30,-165
92,Improved Algorithm,60,-85
92,Improved Algorithm,120,-45
92,Standard Algorithm,15,-1020
92,Standard Algorithm,30,-385
